precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
2.59,0,0,9.66E-07,3.87,3.87,6.07E-02,1.19,0,0,5.38E-02,0,43.3,231,231,231,54.5,0,0,0,1.2,0,0,0,0,0,0,0,0,3.87,0,0,0.798
17.9,0,0,0.154,7.1,7.25,0.102,0.598,0,0,2.76E-02,0.154,43.3,231,233,232,54.9,0,0,0,0.607,0,0,0,0,0,0.154,0,0,7.1,0,0,1.77
0.617,0,0,9.66E-07,5.27,5.27,6.33E-02,1.14,0,1.59E-05,5.20E-02,0,43.3,233,232,232,54.7,0,0,0,1.16,0,0,0,0,0,0,0,0,5.27,0,0,1.19
2.16E-02,0,0,9.66E-07,3.92,3.92,5.87E-02,1.04,0,2.11E-02,0.476,0,43.3,232,231,231,54.1,0,0,0,1.92,0,0,0,0,0,0,0,0,3.92,0,0,0.843
4.9,0,0,1.16E-03,3.67,3.67,6.24E-02,0.902,0,0,4.16E-02,1.16E-03,43.3,231,231,231,54.5,0,0,0,0.915,0,0,0,0,0,1.16E-03,0,0,3.67,0,0,0.879
1.62,0,0,6.07E-05,2.87,2.87,5.50E-02,1.75,0,9.42E-03,0.276,5.98E-05,43.3,231,230,230,54.3,0,0,0,2.15,0,0,0,0,0,5.98E-05,0,0,2.87,0,0,0.612
0.972,0,0,9.66E-07,2.16,2.16,5.11E-02,1.58,0,1.71E-02,0.41,0,43.3,230,229,230,53.9,0,0,0,2.31,0,0,0,0,0,0,0,0,2.16,0,0,0.439
0,0,0,9.66E-07,1.64,1.64,4.86E-02,1.11,0,3.30E-02,0.707,0,43.3,229,228,229,53.1,0,0,0,2.49,0,0,0,0,0,0,0,0,1.64,0,0,0.31
12.1,0,0,7.73E-03,3.42,3.43,7.02E-02,1.71,0,5.02E-03,0.188,7.73E-03,43.3,228,230,229,54.4,0,0,0,1.92,0,0,0,0,0,7.73E-03,0,0,3.42,0,0,0.855
22.4,0,0,0.302,7.72,8.03,0.11,0.225,0,0,1.10E-02,0.302,43.3,230,232,231,54.8,0,0,0,0.23,0,0,0,0,0,0.302,0,0,7.72,0,0,1.9
